Service Name,Service Alternate Name,Category,Organization,Main Phone Number,Alternative Phone Number,Fax Number,Street Address,City,State,ZIP Code,URL,Description
Adult Education & Assistance,,Adult Education & Assistance,ASPIRE of SWMO ,417-291-1640,,,P.O. Box 4623,Joplin,MO,64803,,Offers College scholarships to single parents in Jasper / Newton County.
Adult Education & Assistance,,Adult Education & Assistance,Crowder College,417-455-5521,,,601 Laclede Ave,Neosho,MO,64850,,"Individual instruction in HS equivalency, compass test, college and career readiness.  Pell Grants, etc."
Adult Education & Assistance,,Adult Education & Assistance,Mary K Finley Library,417-682-5355,,,300 W 10th St,Lamar,MO,64759,,"Training in: Computer class, literature and reading assistance, and proctoring for exams."
Adult Education & Assistance,,Adult Education & Assistance,Department of Vocational Rehabilitation ,417-629-3067 ,,,801 E. 15th St,Joplin,MO,64804,,Assist eligible Missouri citizens who have disabilities and who want to be employed.
College Prep for High School Students,,Adult Education & Assistance,Educational Talent Search at MSSU ,417-659-5440,,,3950 E. Newman Rd,Joplin,MO,64801,,"MSSU, College Prep for High School Students"
Adult Education & Assistance,,Adult Education & Assistance,Franklin Technical ,417-625-5260,,,,,,,ww.franklintechjoplin.com,Offers several certificate/technical programs & financial aid available.
Adult Education & Assistance,,Adult Education & Assistance,HS Equivalency Program Crowder College   ,417-451-3223        ,,,,,,, www.hepcamp.org ,"Provides economic assistance, GED prep/GED in Spanish, Housing for those in residential program, tutorial assistance, academic & vocational counseling, career advisement."
Adult Education & Assistance,,Adult Education & Assistance,Joplin Adult Basic Education,417-625-5263,,,123 Main St,Joplin,MO,64801,,"Literacy services, GED classes, ACT prep, ESL Class."
Immigrant Education Services,,Adult Education & Assistance,Joplin Neighborhood Adult Literacy Action ,417-782-2646 ,,,123 S. Main Street,Joplin,MO,64801,,"English as a second language, Math & Literacy classes available. Citizenship Testing Classes.  Evening courses also available."
Job Search,,Adult Education & Assistance,Missouri Job Center ,417-659-3000,,,730 S. Wall Ave,Joplin,MO,64801,,"One stop for Job Search (jobs.mo.gov), Hiring Events, Resume, Skill Enhancement, NCRC and more. Monday-Thursday 8:30am-4pm, Friday 10am-3pm, Orientation Monday 12-4pm                                              Evening Classes: Mon-Wed. 6-8:30pm, orientation 1st & 3rd 6-8:30pm "
Adult Education & Assistance,,Adult Education & Assistance,Missouri Southern State University,417-625-9325,,,3950 E. Newman Rd,Joplin,MO,64801,,Financial assistance for continuing ed people interested in attending college. Loans and Grants
Adult Education & Assistance,,Adult Education & Assistance,University of MO Extension,417-358-2158,,,,Springfield,MO,,METP@missouri.edu,"METP, MO Employment and Training Program.  Helps families on food stamps with education and other assistance."
Adult Education & Assistance,,Adult Education & Assistance,VA Educational Benefits ,1-888-442-4551,,,,,,,benefits.va.gov/gibill/,"GI Bill benefits help you pay for college, graduate school, and training programs."
Adult Education & Assistance,,Adult Education & Assistance,Webb City Public Library,417-625-5263,,,101 S Liberty St,Webb City,MO,64870,,Free HS Equivalency Preparation. Tues-Thurs 5pm-7:30pm  
Adult Education & Assistance,,Adult Education & Assistance,MOLearns,314-415-4935,,,,,,,www.MOLearns.com,MOLearns is Missouri's FREE high school equivalency (HSE) preparation online classroom. 
Adult Education & Assistance,,Adult Education & Assistance,Pittsburg State University,620-231-7000,,,1701 S. Broadway,Pittsburg,KS,66762,www.pittstate.edu,University-Higher Education
Adult Education & Assistance,,Adult Education & Assistance," Southeast Kansas Community Action Program / SEK-CAP, Inc",620-724-8204,,,401 N. Sinnet,Girard,KS,66743,,Family and Community Engagement Department (FCE) and the Life Skills Development help people with education and life skills to focus on helping clients gain self-sufficiency and learn how to provide for themselves.
Adult Education & Assistance,,Adult Education & Assistance,Union Adult Learning Center,918-357-7040,,,7616 S Garnett Rd,Broken Arrow,OK,74012,,"A regional program based in Tulsa and offers a variety of classes for adults in the Tulsa metro area as well as in Rogers, Osage, Muskogee, Mayes and Wagoner counties."
Adult Education & Assistance,,Adult Education & Assistance,Oklahoma State Regents for Higher Education,405-225-9100,,,"655 Research Parkway, Suite 200",Oklahoma City,OK,73104,https://www.okhighered.org/,
AIDS Information-Treatment,,AIDS Information-Treatment,AIDS Project of the Ozark,417-624-5788,,,321 E 4th  St,Joplin,MO,64804,,"Free HIV Testing & Free case management for people with HIV.  Early intervention, counseling, support groups."
AIDS Information-Treatment,,AIDS Information-Treatment,Children AIDs Fund,703-433-1560,,,,,MO,,www.childrensaidsfund.org,"One time emergency help - rent, utilities, insurance, medical care  - case by case "
AIDS Information-Treatment,,AIDS Information-Treatment,Doorways / Cooper House,314-535-1919,,,4385 Maryland Ave,St. Louis,MO,63118,,Housing for persons with HIV / AIDS
AIDS Information-Treatment,,AIDS Information-Treatment,HOPE Care Center,816-523-3988,,,115 E. 83rd Street,Kansas City,MO,64114,,We are a Skilled Nursing Facility providing care to HIV-positive residents who are 18 years of age or older. SNF for persons with HIV / AIDS
AIDS Information-Treatment,,AIDS Information-Treatment,Joplin City Health Dept.,417-623-6122,,,,Joplin,MO,,,"Free/low cost AIDS testing/Child Immunization, Flu Shot, STD Testing"
AIDS Information-Treatment,,AIDS Information-Treatment,Kansas Dept. of Health & Environment,785-296-6174 ,,785-559-4225,1000 SW Jackson,Topeka,KS,66612,,Ryan White Part B Program. Providing Care and Support Services for Kansans Living with HIV-Infection
AIDS Information-Treatment,,AIDS Information-Treatment,Tulsa Cares,918-834-4194,,918-934-4189,3712 E. 11th Street,Tulsa,OK,74112,,Delivering social services to people affected by HIV/AIDS.
Alzheimer's Support Groups,,Alzheimer's Support Groups,Oak Point in Carthage,417-279-8955,,,300 W Airport Dr,Carthage,MO,64836,,Every other Monday at noon
Alzheimer's Support Groups,,Alzheimer's Support Groups,Carthage Health and Rehab,417-358-1937,,,"1901 Buena Vista Ave, # A",Carthage,MO,64836,,Every third Wednesday at 4:30 pm
Alzheimer's Support Groups,,Alzheimer's Support Groups,Freeman East Hospital,417-347-1111,,,932 E. 34th St.,Joplin,MO,64804,,Second Tuesday of the month at 6 pm
Alzheimer's Support Groups,,Alzheimer's Support Groups,Joplin Alzheimer’s Caregiver Support Group Area Agency on Aging,417-434-3861,,,531 E. 15th St,Joplin,MO,64804,,3rd Thursday of each month from 6:00 to 7:30pm
Alzheimer's Support Groups,,Alzheimer's Support Groups,National Health Care,417-781-1737,,,,,MO,,,Every third Thursday at 4 pm
Alzheimer's Support Groups,,Alzheimer's Support Groups,Webb City Library Community Room, 417-673-4326,,,101 S Liberty St,Webb City,MO,64870,,Every fourth Tuesday at 4 pm Community Room
Alzheimer's Support Groups,,Alzheimer's Support Groups,"Southeast Kansas, Regional Office",620-421-6550 ext. 1794,,,601 Gabriel,Parsons,KS,67357,adecoster@alz.org, Hours will vary. Please email Angela DeCoster to arrange and appointment.
Alzheimer's Support Groups,,Alzheimer's Support Groups,Alzheimer's Association,800-272-3900,,,,,OK,,https://www.alz.org/oklahoma,
Alzheimer's Support Groups,,Alzheimer's Support Groups,LIFE's Adult Day Health Center & LIFE PACE - Cathy Ozmun,918-664-9000 ext. 8448,,,902 East Pine Street,Tulsa,OK,74106,cozmun@lifeseniorservices.org,"Meets the 3rd Tuesday of each month from 5-6 pm. Group gives caregivers an opportunity to come together and share their experiences with eldercare, as well as to gain information about specific topics that will help in their caregiving journeys."
Alzheimer's Support Groups,,Alzheimer's Support Groups,LIFE's Adult Day Health Center- Teri Geilfuss,918- 664-9000 ext. 324,,,3106 S Juniper,Broken Arrow,OK,74012,tgeilfuss@LIFEseniorservices.org,"2nd Thursday of each month - 3 - 4:30 p.m. 4th Thursday of each month-5:30-7pm. Group gives caregivers an opportunity to come together and share their experiences with eldercare, as well as to gain information about specific topics that will help in their caregiving journeys."
Alzheimer's Support Groups,,Alzheimer's Support Groups,LIFE's Adult Day Health Center - Alisha Hill,918-664-9000 ext. 244,,,5950 East 31st. Street,Tulsa,OK,74135,31fac@LIFEseniorservices.org,"1st Thursday of each month - 6 - 7:30 p.m.  3rd Thursday of each month - 3 - 4:30 p.m. Group gives caregivers an opportunity to come together and share their experiences with eldercare, as well as to gain information about specific topics that will help in their caregiving journeys."
Behavioral Health,,Behavioral Health,Applied Psychological Services,417-627-9601,,,"2700 N. Rangeline, Suite 101",Joplin,MO,64801,www.apsjoplin.com,"Provides individual and family counseling for adults and children, as well as personality disorder testing, IQ, educational testing, and any other general psychological evaluations."
Behavioral Health,,Behavioral Health,Behavior Management Associates,417-782-1910,,,"2702 Cunningham Ave, Ste A",Joplin,MO,64804,www.behaviormgt.com,Psychologist Office
Behavioral Health,,Behavioral Health,Clark Community Mental Health Center,417-235-6610,,,1701 N. Central Avenue,Monett,MO,65708,,"Clark Community Mental Health Center offers outpatient services to the surrounding communities of Barry, Lawrence and Dade counties. Outpatient services include individual, group and family therapies and medication services. Licensed psychologists, clinical social workers and professional counselors provide therapy services to both adults and children. We also have a team of psychiatrists and nurse practitioners who provide medication services."
Behavioral Health,,Behavioral Health,College Skyline Center,417-782-1443,1-800-624-1054 ,,1230 N. Duquesne,Joplin,MO,64801,,"Services we provide include:  Individual and Family,  Marriage,  Premarital,  Sexual,  Court-Ordered,  Grief,  Eating Disorders,  Substance Abuse,  Parenting,  Aftercare Following Hospitalization,  Crisis Intervention ,  Critical Incident Debriefing."
Behavioral Health,,Behavioral Health,Counseling Associates of the Four States,417-627-9994 ,,,705 W 26th St,Joplin,MO,64804,www.counselingjoplin.com,"Depression, Eating Disorders, Obsessive Compulsive Disorders, Anger Management, Stress Management, Substance Abuse, PTSD, Trauma, Grief/Loss, Geriatric & Caregiver Support, Dissociative Identity Disorders, Personality Disorders"
Behavioral Health,,Behavioral Health,"Hendon, Snider, and Associates",417-623-1381,,,"2650 E. 32nd St, Suite 221",Joplin,MO,64804,,"They are licensed to provide medical treatment under their counseling credentials.  Anyone with questions, inquiries, or therapy needs pertaining to HERNDON SNIDER & ASSOCIATES, PC should contact them directly at their Joplin location in Missouri."
Behavioral Health,,Behavioral Health,House of Hope,417-624-4833 ,,,3405 S. Hammons Blvd,Joplin,MO,64804,,Services children and teens                    ages 12 - 18
Behavioral Health,,Behavioral Health,Mt. Hope Christian Counseling,417-324-1795,,,2830 Mt. Hope Road,Webb City,MO,64870,https://www.mthope.church/counseling,"Our counselors draw upon their professional training, formal education and experiences to address the unique mental, emotional, spiritual and relational needs of each person.
 While we are committed to a Christian perspective in approaching mental health issues, we are also sensitive to perspectives of others and those who do not identify with the faith."
Behavioral Health,,Behavioral Health,Ozark Center,417-347-7600,417-347-7720,,1105 E. 32nd Street,Joplin,MO,,,"Ozark Center offers many programs and services to help you and your family overcome behavioral or mental health difficulties. If you or a loved one has problems that interfere with doing your best at home, school or work call to make an appointment."
Behavioral Health,,Behavioral Health,Restoration Counseling Services,417-208-9498,,,712 E. 32nd St,Joplin,MO,64801,https://www.facebook.com/brianfidlercounseling,No website to look up services.  However they have a Facebook account
Behavioral Health,,Behavioral Health,Thompson and McGregor,417-627-9968,,,2004 S Joplin Ave,Joplin,MO,64804,https://www.facebook.com/pages/Thompson-McGregor/103873596345747,No website to look up services.  However they have a Facebook account
Behavioral Health,,Behavioral Health,Crawford County Mental Health,620-232-7283,,,911 E. Centennial,Pittsburg,KS,66762,http://www.crawfordmentalhealth.org,Mental health and substance abuse services.
Behavioral Health,,Behavioral Health,Spring River Mental Health & Wellness,620-848-2300,,,6610 SE Quakervale Rd,Riverton,KS,66770,www.springrivermh.org,Mental health and substance abuse services.
Behavioral Health,,Behavioral Health,Grand Lake Mental Health Services - Afton Office,918-257-4244,,,138 S. Main,Afton,OK,74331,,"Grand Lake Mental Health Care offers a variety of programs and services for individuals age four throughout lifespan. We provide outpatient services which include Individual Therapy, Family Therapy, Group Therapy, Individual Rehabilitation, Group Rehabilitation, Case Management Services, and Medication Management Services. Programs offered for children and adolescents who have increased behavioral health issues is Systems of Care / Wraparound Services. Other programs we offer on a limited basis include Mental Health Court and Temporary Assistance for Needy Families."
Behavioral Health,,Behavioral Health,Grand Lake Mental Health Services - Delaware County Office,918-786-4434,,,1115 Har-Ber Road,Grove,OK,74345,,"Grand Lake Mental Health Care offers a variety of programs and services for individuals age four throughout lifespan. We provide outpatient services which include Individual Therapy, Family Therapy, Group Therapy, Individual Rehabilitation, Group Rehabilitation, Case Management Services, and Medication Management Services. Programs offered for children and adolescents who have increased behavioral health issues is Systems of Care / Wraparound Services. Other programs we offer on a limited basis include Mental Health Court and Temporary Assistance for Needy Families."
Behavioral Health,,Behavioral Health,Grand Lake Mental Health Services - Ottawa County Office,918-540-1411,918-540-1511,,111 S. Treaty Road,Miami,OK,74354,,"Grand Lake Mental Health Care offers a variety of programs and services for individuals age four throughout lifespan. We provide outpatient services which include Individual Therapy, Family Therapy, Group Therapy, Individual Rehabilitation, Group Rehabilitation, Case Management Services, and Medication Management Services. Programs offered for children and adolescents who have increased behavioral health issues is Systems of Care / Wraparound Services. Other programs we offer on a limited basis include Mental Health Court and Temporary Assistance for Needy Families."
Behavioral Health,,Behavioral Health,Grand Lake Mental Health Services - Nowata Office,918-273-1841,,,114 W. Delaware,Nowata,OK,74048,,"Grand Lake Mental Health Care offers a variety of programs and services for individuals age four throughout lifespan. We provide outpatient services which include Individual Therapy, Family Therapy, Group Therapy, Individual Rehabilitation, Group Rehabilitation, Case Management Services, and Medication Management Services. Programs offered for children and adolescents who have increased behavioral health issues is Systems of Care / Wraparound Services. Other programs we offer on a limited basis include Mental Health Court and Temporary Assistance for Needy Families."
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",4UTesting,417-621-1006,,,3929 E 7th St,Joplin,MO,64801,,Free pregnancy test.
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Access Family Care,417-659-9100,,,530 Maiden Lane,Joplin,MO,64804,,Comprehensive medical services. Medicaid accepted. Fees based on income. Bilingual staff. Call for additional information.
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Access Family Care - Neosho,417-451-4447,,,412 W. McKinney,Neosho,MO,64850,,
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Care Net Pregnancy Resource Center - Neosho,417-455-0100,,,1015 S. Neosho Blvd,Neosho,MO,64850,,"Free pregnancy test, peer counseling, pregnancy education"
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Catholic Charities of Southern MO,417-624-3790,,,403 E. 4th Street,Joplin,MO,64801,,Pregnancy Counseling
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Catholic Charities of Southern MO (Crisis Maternity Home) ,417-720-4213,,,424 Monastery Road,Springfield,MO,65807,,Crisis Maternity Home
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Choices Medical Services- Carthage,417-388-3434,,,2337 Fairlawn Ave,Carthage,MO,64836,,"Confidential services for men & women, STD Testing & Treatment, Pregnancy Tests, Accurate Information on Pregnancy options, Limited Ultrasounds, Referrals, Parenting classes available.  Free baby basket of all new baby items for new moms that are existing patients through pregnancy."
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Choices Medical Services - Joplin,417-624-8030,,,531 E. 7th St,Joplin,MO,64801,,
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Light House ,816-361-2233,,,400 W Meyer Blvd,Kansas City,MO,64113,,Alternative to Abortion-Care for mothers and unborn babies.  Education program provided.
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Planned Parenthood,417-781-6500,,,710 Illinois,Joplin,MO,64801,,"Birth Control, Pap Smears, Well Woman STD Test Infections"
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Mother to Mother,620-232-2004,,,415 N. Pine,Pittsburg,KS,66762,,Family support and education
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Cherokee County Health Department,620-429-3338,,,110 East Walnut Street,Columbus,KS,66725,,http://cherokeecountyks.gov/main/departments/health-department/services
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Oklahoma Family Planning Program ,405-419-4150,918-594-4704,,,,OK,,https://www.ok.gov/health/Family_Health/Maternal_and_Child_Health_Service/Perinatal_and_Reproductive_Health_/Family_Planning_and_Birth_Control/index.html,The Oklahoma Family Planning Program is devoted to providing family planning services to males and females of reproductive age.
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Pregnancy Center,918-456-4440 ,,,1009 S Muskogee Ave,Tahlequah,OK,74464,,Pregnancy counseling and information services
"Birth Control,  Pregnancy Counseling  &  Information",,"Birth Control,  Pregnancy Counseling  &  Information",Office of Women's Health - US Department of Health and Human Services,1-800-994-9662,,,,,,,https://www.womenshealth.gov/a-z-topics/birth-control-methods,"Monday - Friday, 8am-5pm. OWH and the OWH helpline do not see patients and are unable to: diagnose your medical condition; provide treatment; prescribe medication; or refer you to specialists. The OWH helpline is a resource line. The OWH helpline does not provide medical advice."
Cancer Patient Resources,,Cancer Patient Resources,American Cancer Society,416-624-6808,417-347-4000,,3415 McIntosh Circle Dr.,Joplin,MO,64804,www.cancer.org,"At the American Cancer Society, we're on a mission to free the world from cancer. Until we do, we'll be funding and conducting research, sharing expert information, supporting patients, and spreading the word about prevention. All so you can live longer — and better."
Cancer Patient Resources,,Cancer Patient Resources,Breast Cancer Foundation of the Ozarks,417-862-3838,,,"620 W Republic Rd, Ste 107",Springfield,MO,65807,,"Since 2000, Breast Cancer Foundation of the Ozarks (BCFO) has provided help and hope to families facing breast cancer. Located in southwest Missouri, BCFO works with local communities to improve breast cancer screening rates and provide breast cancer families with the financial and emotional support they need.
"
Cancer Patient Resources,,Cancer Patient Resources,Mercy Life Line ,417-820-5379,,,1235 E. Cherokee Street,Springfield,MO,,,"Mercy Life Line provides safe, rapid air transport for emergency patients throughout Missouri, Kansas, Oklahoma and Arkansas. "
Cancer Patient Resources,,Cancer Patient Resources,Wings of Hope,800-448-9487,636-573-1302,,18370 Wings of Hope Boulevard                                       ,St. Louis,MO,63005,info@wingsofhope.ngo,"Wings of Hope is a global humanitarian nonprofit organization that has been helping the world’s most vulnerable communities since 1962. As our name suggests, we use our wings to connect people to the resources they need to meet their development goals.    Wings of Hope changes and saves lives through the power of aviation.     We work on a global scale to help vulnerable communities access the basic resources essential for human dignity."
Cancer Patient Resources,,Cancer Patient Resources,CBCI Cancer Support Group,,,,,,MO,,,(All Cancer Dx)  Held the 2nd Wednesday of each month from 2pm-3pm at CBCI
Cancer Patient Resources,,Cancer Patient Resources,Pink Hope Express Support Group,417-347-2662 ,,,102 Castle Dr,Joplin,MO,64804,,Breast Cancer. Held the 1st Tuesday of the month from 4:30pm-6pm.  Contact Jennifer Hargis. All Aboard Ice Cream Reddings Mill 
Cancer Patient Resources,,Cancer Patient Resources,Prayer and Praise Cancer Support Group at Forest Park Church,417-623-4606 ,,,7th and Rangeline Road,Joplin,MO,64801,fox.jan@hotmail.com,Tuesdays from 6:30 pm - 7:30 pm. Contact: Melissa. 
Cancer Patient Resources,,Cancer Patient Resources,Bosom Buddies Neosho Breast Cancer Support Group -Contact is Donna,417-451-4880,417-312-1027,,,,MO,,, 2nd Monday of each month at 6pm at Mazzio’s Pizza
Cancer Patient Resources,,Cancer Patient Resources,GYNCA at Joplin Public Library,417-623-7953,,,1901 E. 20th Street,Joplin,MO,64804,www.gynca.org,(GYN Cancers) meets quarterly at the Joplin Public Library (Dates for 2020 TBD)
Cancer Patient Resources,,Cancer Patient Resources,Kansas Angels Among Us,620-231-6337,,,502 W. 540th Avenue,Pittsburg,KS,66762,,Assistance for cancer patients.
Cancer Patient Resources,,Cancer Patient Resources,"Angel Flight, Inc.",918-749-8992,,,12345 East Skelly Drive,Tulsa,OK,,,"Angel Flight Oklahoma was created by a group of pilots who believe in the benefit of volunteering. We strive to keep all aspects of the organization volunteer. We are a non-profit charitable organization of pilots, volunteers, and friends that are proud to serve the heartland area of Oklahoma, Texas, Arkansas, Missouri, and Kansas. We will arrange free air transportation for any legitimate, charitable, medically related need. This service is available to individuals and to health care organizations. We will also arrange transportation of those people who are financially distressed, or who are in a time-critical, non-emergency situation due to their medical condition."
Cancer Patient Resources,,Cancer Patient Resources,Air Compassion for Veterans (Mercy Medical Airlift),888-662-6794,800-675-1405,,"4620 Haygood Road, Suite 1",Virgina Beach,VA,,Aircompassionforveterans.org,Angel Wings for Veterans® administers charitable airline ticket programs for patients and patient escorts on behalf of various major airlines. Ambulatory patient travel exceeding 750 miles necessitates the use of airline resources. Special circumstances can make it advisable to use these programs for even shorter distances. AW4Vets personnel are highly experienced in these diverse and often changing airline patient ticket programs.                                                        Our ground transportation program ensures travel for veterans and their families by providing gas cards and commercial bus or Amtrak tickets. Patients (with or without escort) must be ambulatory and require no medical monitoring or care en route. These trips are for non-local medical care over 50 miles and the typical trip does not exceed 300 miles.
Cancer Patient Resources,,Cancer Patient Resources,Corporate Angel Network - Westchester County Airport,914-328-1313,,914-328-3938,1 Loop Road ,White Plain,NY,,,Provides transportation of cancer patients for treatment across U.S. at no cost using empty seats on corporate jets.
Cancer Patient Resources,,Cancer Patient Resources, National Cancer Institute,,,,,,,,www.cancer.gov,
Cancer Patient Resources,,Cancer Patient Resources, National Lymphedema Network,,,,,,,,www.lymphnet.org,
Cancer Patient Resources,,Cancer Patient Resources, American Cancer Society,,,,,,,,www.cancer.org,
Cancer Patient Resources,,Cancer Patient Resources, CancerCare,,,,,,,,www.cancercare.org ,
Cancer Patient Resources,,Cancer Patient Resources, Cancer Support Community,,,,,,,,www.cancersupportcommunity.org,
Cancer Patient Resources,,Cancer Patient Resources, Lung Cancer,,,,,,,,"https:// lungcanceralliance.org 
resources and support.",
Cancer Patient Resources,,Cancer Patient Resources, Head & Neck Cancer,866-916-5107,,,,,,,"On-line Support Community
 www.headandneck.org  ",Can help with Gas Care (BP/EXXON)
Cancer Patient Resources,,Cancer Patient Resources, GYN Cancers,,,,,,,,https://www.gynca.org ,"GYNCA can help with gas cards, mentors, support, wigs"
Cancer Patient Resources,,Cancer Patient Resources," Leukemia, Lymphoma, Myeloma’s",,,,,,,,"
http://www.lls.org/  
",Leukemia & Lymphoma Society (Insurance Premium Program – BK) / Booklets. Currently helps with $100 one time for patients or $500 for those in a clinical trial who meet income guidelines.  Various times can help with transportation assistance.
Cancer Patient Resources,,Cancer Patient Resources,Children’s Leukemia Research Association,,,,,,,,https://www.childrensleukemia.org/ ,Open to adults and children with any type of leukemia; co-pay assistance programs available
Cancer Patient Resources,,Cancer Patient Resources, Colorectal Cancer Alliance,,,,,,,, https://www.ccalliance.org/,
Cancer Patient Resources,,Cancer Patient Resources, Blue Hope Financial Assistance,,,,,,,,,One-time only $200 stipend to cover treatment-related expenses for those currently in treatment for colon or rectal cancer.
Cancer Patient Resources,,Cancer Patient Resources, Meredith’s Miracle,,,,,,,, http://merediths-miracles.org/,Help with financial support to those under 40 who are dx with colon cancer.
Cancer Patient Resources,,Cancer Patient Resources, Colon Cancer Alliance Buddy Project,877-422-2030,,,,,,,,
Cancer Patient Resources,,Cancer Patient Resources, American Cancer Society,,,,,,,,www.cancer.org  ,"Hope Lodge 
(Kansas City and St. Louis)/Hotels"
Cancer Patient Resources,,Cancer Patient Resources, Cancercare,,,,,,,, https://www.cancercare.org/financial,"Open funds vary with diagnoses; typically available for women.  Information, literature, on-line support groups, phone counseling."
Cancer Patient Resources,,Cancer Patient Resources, Vernon County Cancer Relief (VCCR),,,,,,,,http://vernoncountycancerrelief.org/,"Can assist with gas, bills, etc."
Cancer Patient Resources,,Cancer Patient Resources, Tenaciously Teal,,,,,,,,www.tteal.org,Can help with gas card or groceries for those residing in Oklahoma.
Cancer Patient Resources,,Cancer Patient Resources," First National Bank in Grove, Vinita and Miami",,,,,,,,,May have some funds for assistance for those in that area.
